nombre,operador,estado,fechaPuestaOperacion,tipoUso,subestacionOrigen,subestacionDestino,voltajeNominalKV,corrienteNominalA,capacidadMW,longitudKm,municipio,departamento,subarea
OCAÑA - SOGAMOSO 1 500 kV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,22/08/2014,Uso STN,OCAÑA,SOGAMOSO,500.0,1.905,1.57,163.71,OCAÑA,NORTE DE SANTANDER,SubArea Santander
PRIMAVERA - SOGAMOSO 1 500 kV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,22/08/2014,Uso STN,PRIMAVERA,SOGAMOSO,500.0,1.905,1.57,135.67,CIMITARRA,SANTANDER,SubArea Santander
BUCARAMANGA - GUATIGUARA 1 230 kV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,01/01/1980,Uso STN,BUCARAMANGA,GUATIGUARA,230.0,837.0,316.77,12.11,BUCARAMANGA,SANTANDER,SubArea Santander
GUATIGUARA - PALENQUE 1 230 KV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,28/08/2020,Uso STN,PALENQUE,GUATIGUARA,230.0,1.017,0.38,42.13,GIRÓN,SANTANDER,SubArea Santander
GUATIGUARA - PALENQUE 2 230 KV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,28/08/2020,Uso STN,PALENQUE,GUATIGUARA,230.0,1.017,0.38,42.13,GIRÓN,SANTANDER,SubArea Santander
PALENQUE - SOGAMOSO 1 230 KV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,28/08/2020,Uso STN,PALENQUE,SOGAMOSO,230.0,1.017,0.38,38.45,GIRÓN,SANTANDER,SubArea Santander
PALENQUE - SOGAMOSO 2 230 KV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,28/08/2020,Uso STN,PALENQUE,SOGAMOSO,230.0,1.017,0.38,38.45,GIRÓN,SANTANDER,SubArea Santander
PRIMAVERA - TERMOCENTRO 1 230 kV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,01/01/1989,Generación,PRIMAVERA,TERMOCENTRO,230.0,884.0,334.55,8.21,CIMITARRA,SANTANDER,SubArea Santander
PRIMAVERA - TERMOCENTRO 2 230 kV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,01/01/1989,Generación,PRIMAVERA,TERMOCENTRO,230.0,884.0,334.55,8.21,CIMITARRA,SANTANDER,SubArea Santander
LIZAMA - SABANA DE TORRES 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,01/03/1995,Uso STR,LIZAMA,SABANA DE TORRES,115.0,589.0,111.45,33.11,BARRANCABERMEJA,SANTANDER,SubArea Santander
SABANA DE TORRES - SAN ALBERTO 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,01/01/1999,Uso STR,SABANA DE TORRES,SAN ALBERTO,115.0,589.0,111.45,44.56,SABANA DE TORRES,SANTANDER,SubArea Santander
OCAÑA - SAN ALBERTO 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,30/12/2021,Uso STR,OCAÑA,SAN ALBERTO,115.0,324.8,61.46,59.9,OCAÑA,NORTE DE SANTANDER,SubArea Santander
BARBOSA (SANTANDER) - SUAITA 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,28/09/2022,Uso STR,BARBOSA (SANTANDER),SUAITA,115.0,478.0,90.45,26.64,BARBOSA,SANTANDER,SubArea Santander
OIBA - SUAITA 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,28/09/2022,Uso STR,OIBA,SUAITA,115.0,478.0,90.45,28.96,OIBA,SANTANDER,SubArea Santander
OIBA - SAN GIL 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,28/09/2022,Uso STR,OIBA,SAN GIL,115.0,478.0,90.45,45.16,OIBA,SANTANDER,SubArea Santander
CONUCO - TBOSCONIA 1 115 KV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,01/03/2021,Uso STR,CONUCO,,115.0,592.0,112.02,9.516,BUCARAMANGA,SANTANDER,SubArea Santander
LOS PALOS - PRINCIPAL (BUCARAMANGA) 1 115 KV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,29/12/2020,Uso STR,LOS PALOS,PRINCIPAL (BUCARAMANGA),115.0,592.0,112.02,3.977,BUCARAMANGA,SANTANDER,SubArea Santander
PRINCIPAL (BUCARAMANGA) - TBOSCONIA 1 115 KV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,29/12/2020,Uso STR,PRINCIPAL (BUCARAMANGA),,115.0,592.0,112.02,3.054,BUCARAMANGA,SANTANDER,SubArea Santander
COMUNEROS - MERILECTRICA 1 230 kV,CELSIA COLOMBIA S.A. E.S.P.,Operación,24/01/1997,Del OR al STN,COMUNEROS,MERILECTRICA,230.0,896.0,339.09,1.7,BARRANCABERMEJA,SANTANDER,SubArea Santander
COMUNEROS - LA CIRA INFANTAS 1 230 KV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,25/01/2010,Carga,COMUNEROS,LA CIRA INFANTAS,230.0,300.0,113.54,17.3,BARRANCABERMEJA,SANTANDER,SubArea Santander
CONUCO - FLORIDA (BUCARAMANGA) 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,01/03/2021,Uso STR,FLORIDA (BUCARAMANGA),CONUCO,115.0,592.0,112.02,11.812,FLORIDABLANCA,SANTANDER,SubArea Santander
BARRANCA - SOGAMOSO 1 230 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,11/07/2014,Uso STN,SOGAMOSO,BARRANCA,230.0,900.0,340.61,54.182,BETULIA,SANTANDER,SubArea Santander
BUCARAMANGA - SOGAMOSO 1 230 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,11/07/2014,Uso STN,BUCARAMANGA,SOGAMOSO,230.0,900.0,340.61,45.438,BUCARAMANGA,SANTANDER,SubArea Santander
OIBA - OIBITA 1 115 kV,PCH SAN BARTOLOME S.A.S. E.S.P.,Operación,14/05/2023,Generación,OIBA,OIBITA,115.0,111.6,21.12,11.193,OIBA,SANTANDER,SubArea Santander
OIBA - SAN BARTOLOME 1 115 kV,PCH SAN BARTOLOME S.A.S. E.S.P.,Operación,14/05/2023,Generación,OIBA,SAN BARTOLOME,115.0,111.6,21.12,8.29,OIBA,SANTANDER,SubArea Santander
MESA DEL SOL - PIEDECUESTA 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,20/07/2023,Uso STR,MESA DEL SOL,PIEDECUESTA,115.0,458.0,86.67,23.9,LOS SANTOS,SANTANDER,SubArea Santander
MESA DEL SOL - SAN GIL 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,20/07/2023,Uso STR,MESA DEL SOL,SAN GIL,115.0,458.0,86.67,38.27,LOS SANTOS,SANTANDER,SubArea Santander
COMUNEROS - PRIMAVERA 1 230 kV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,17/06/1999,Uso STN,COMUNEROS,PRIMAVERA,230.0,810.0,306.55,111.6,BARRANCABERMEJA,SANTANDER,SubArea Santander
COMUNEROS - PRIMAVERA 2 230 kV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,04/11/1996,Uso STN,COMUNEROS,PRIMAVERA,230.0,809.0,306.17,101.47,BARRANCABERMEJA,SANTANDER,SubArea Santander
PALENQUE - REAL DE MINAS 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,01/01/2001,Uso STR,PALENQUE,REAL DE MINAS,115.0,530.0,100.29,5.12,GIRÓN,SANTANDER,SubArea Santander
LOS PALOS - PALENQUE 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,25/03/1990,Uso STR,PALENQUE,LOS PALOS,115.0,530.0,100.29,10.69,GIRÓN,SANTANDER,SubArea Santander
GUATIGUARA - LOS PALOS 1 230 kV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,14/05/1999,Uso STN,LOS PALOS,GUATIGUARA,230.0,836.0,316.39,30.6,BUCARAMANGA,SANTANDER,SubArea Santander
LIZAMA - PALENQUE 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,01/01/2001,Uso STR,LIZAMA,PALENQUE,115.0,530.0,100.29,45.64,BARRANCABERMEJA,SANTANDER,SubArea Santander
BARBOSA (SANTANDER) - TSANTA ROSA 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,01/01/1975,Uso STR,BARBOSA (SANTANDER),,115.0,360.0,68.12,39.41,BARBOSA,SANTANDER,SubArea Santander
BOSCONIA -TBOSCONIA 1 115 KV,ACUEDUCTO METROPOLITANO DE BUCARAMANGA S A E S P,Operación,01/09/1984,Carga,BOSCONIA,,115.0,140.0,26.49,1.04,BUCARAMANGA,SANTANDER,SubArea Santander
BUCARAMANGA - LOS PALOS 1 230 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,01/01/1989,Uso STN,BUCARAMANGA,LOS PALOS,230.0,900.0,340.61,23.45,BUCARAMANGA,SANTANDER,SubArea Santander
COMUNEROS - GUATIGUARA 1 230 kV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,07/03/1999,Uso STN,COMUNEROS,GUATIGUARA,230.0,809.0,306.17,95.24,BARRANCABERMEJA,SANTANDER,SubArea Santander
PALENQUE - SAN SILVESTRE 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,06/06/2016,Uso STR,PALENQUE,SAN SILVESTRE,115.0,530.0,100.29,80.16,GIRÓN,SANTANDER,SubArea Santander
GUATIGUARA - PRIMAVERA 1 230 kV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,01/01/2001,Uso STN,PRIMAVERA,GUATIGUARA,230.0,979.0,370.51,162.93,CIMITARRA,SANTANDER,SubArea Santander
BARRANCA - COMUNEROS 1 230 kV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,27/02/1997,Uso STN,COMUNEROS,BARRANCA,230.0,809.0,306.17,10.91,BARRANCABERMEJA,SANTANDER,SubArea Santander
BUCARAMANGA - REAL DE MINAS 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,01/01/2001,Uso STR,BUCARAMANGA,REAL DE MINAS,115.0,530.0,100.29,8.68,BUCARAMANGA,SANTANDER,SubArea Santander
